baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,16,95.10011551323018,77.52825172406243,111.44067478382829,1.0,True
FIFO,unseen,14,77.49111467072535,67.42352387329582,87.25567328240582,1.0,True
RoundRobin,seen,16,16.936025940862216,5.888873662241842,24.986511235662476,0.9375,True
RoundRobin,unseen,14,28.479890155119147,20.992302668497082,35.951041104426366,1.0,True
Random,seen,16,15.740535649472921,6.447110988536565,23.616216309984615,0.875,True
Random,unseen,14,29.05688912112188,16.685797442733403,41.269077722455634,0.8571428571428571,True
Greedy,seen,16,6.802739396576972,0.8057450170596264,13.15930194920219,0.625,True
Greedy,unseen,14,0.5125795394421543,-2.4252533967764918,3.416568652801975,0.5,False
ECT,seen,16,1.4058379584275946,-0.3241496990960679,3.4930558503639344,0.5625,False
ECT,unseen,14,3.08447368608395,0.9779107030830507,5.347549975494681,0.6428571428571429,True
