agent,seen,episode_return,completion_rate,num_completed,num_failed,w_latency,w_sla,w_rejection,w_balance,w_energy,w_utilization,m_on_time_rate,m_sla_violation_rate,m_rejection_rate,m_latency_mean_ms,m_latency_p95_ms,m_latency_p99_ms,m_throughput_tps,m_goodput_tps,m_util_cpu_fleet,m_util_variance_servers,m_util_std_servers,m_queue_mean_fill,m_jain_server_tasks,m_jain_server_tasks_per_core,m_jain_user_completion,m_energy_per_task_j
ECT,False,-425.2627650157095,0.13861918278979693,10.142857142857142,107.85714285714286,-6.292062184495474,-390.85714285714283,-9.0,-5.547605157496228,-14.15712825539909,0.591173438824212,0.1381809706951431,0.8469348167419414,0.014884212562915583,1908.7056746571543,2451.189454641541,2643.8965242491163,0.6565133996906619,0.6540705620905055,0.05416077772812321,0.001364592163671131,0.02845424518718872,9.494047619047619e-05,0.4811511996807131,0.5657412432858357,0.3732680808781149,60.45003982800319
ECT,True,-355.24103039623014,0.28601350480242793,22.8125,96.3125,-11.027508238037711,-332.34375,-0.5,-5.201699314680935,-7.107810785725015,0.9397379422134959,0.2827480342824744,0.7162384522040122,0.0010135135135135136,1044.3834483987591,1621.6810951781263,1855.0338314929556,1.777545727697123,1.7568306308079271,0.07486410810653138,0.001264291618398332,0.030467135834887527,7.96875e-05,0.5492077632323293,0.659611916973199,0.5674691931044324,28.697912544141154
FIFO,False,-499.66940600035093,0.0057178498245053205,0.7142857142857143,117.28571428571429,-0.4786770254214824,-419.57142857142856,0.0,-25.51453884537604,-54.225091142557176,0.1203295844323921,0.0057178498245053205,0.9942821501754947,0.0,1719.2424256071813,1861.7421405737502,1874.408781904112,0.004304818553185982,0.004304818553185982,0.011301147950802014,0.0005640577399721846,0.014986979076836037,2.6190476190476192e-05,0.3,0.29,0.093388391135209,227.8830653168274
FIFO,True,-448.93530795103277,0.020939171392200435,1.5,117.625,-0.8468099489360257,-388.03125,0.0,-28.06338237181091,-32.035908431601975,0.04204280131617223,0.020939171392200435,0.9790608286077995,0.0,1053.0778898850842,1308.0247351580786,1332.9082335699313,0.03455096718876374,0.03455096718876374,0.004964877961378265,0.0003621167534332939,0.013974058934039982,0.0,0.25,0.25,0.112336110543874,128.25236696949287
Greedy,False,-422.6908708690676,0.12563549856989611,9.5,108.5,-6.093116553673192,-398.14285714285717,0.0,-3.1892122956101736,-15.948964316013322,0.6832794390861628,0.1227618371573936,0.8772381628426064,0.0,1869.5756271273974,2510.590953616406,2605.9264690569316,0.4907526153222605,0.48045586769372456,0.060554324642892045,0.0016913198508916023,0.034908616295657356,2.4107142857142858e-05,0.5099496418389827,0.589124653149943,0.350268207301025,68.34597563281106
Greedy,True,-360.6379318343796,0.23842549858185005,19.5625,99.5625,-9.892141095350109,-342.375,0.0,-2.0382300775400437,-7.196820825935629,0.8642601644462314,0.2376786909060047,0.7623213090939953,0.0,1099.7600196984286,1775.8645383871635,1900.352292811933,1.176271487876463,1.172837654382069,0.0655716827787769,0.001039729406988928,0.02742561863594801,8.776041666666665e-05,0.5554060558774109,0.6387042188128799,0.5307080014088505,30.586716695709946
PPO,False,-422.1782913296255,0.13896657070574256,10.214285714285714,107.78571428571429,-6.422269561596681,-396.85714285714283,0.0,-5.5052482165269705,-14.04415688754297,0.650526193183965,0.13811307621906216,0.8618869237809379,0.0,2002.2534423468255,2580.060289217459,2789.944135379444,0.666769078807002,0.661518255511736,0.057409142809472215,0.0012170524024773736,0.03004812543605959,2.797619047619048e-05,0.48238305730186226,0.5579130569388088,0.37358910611433865,60.6693167762137
PPO,True,-353.83519243780256,0.2867282235556662,23.0,96.125,-11.140643211033499,-332.53125,0.0,-5.066084217731329,-6.047583901709466,0.9503688926717213,0.2838704612165021,0.7161295387834979,0.0,1042.4502138017667,1621.9313823916227,1877.402303880707,1.782332529567946,1.7645807982775445,0.07478818412090985,0.00123405269136358,0.02945329536104687,0.00022265624999999998,0.5321718527501974,0.6473589280941137,0.5735191685714789,25.806739508626688
Random,False,-451.2351804507474,0.12251715128316351,10.928571428571429,107.07142857142857,-6.6502453299862845,-319.82142857142856,-97.14285714285714,-9.578183863946524,-18.87770884397992,0.8352433014511113,0.11964577017257973,0.7293631970595521,0.15099103276786816,1971.961698332721,2721.2210455018417,2949.61834027412,0.22421779978049092,0.22012753334959487,0.06577189137410919,0.002294476986754279,0.0402665191960846,0.0001244047619047619,0.48451155535303736,0.5618582631201143,0.40082412938650075,82.85901031111541
Random,True,-369.57572808727554,0.23910460014866658,21.5625,97.5625,-10.47121848127218,-325.5,-10.25,-11.284586561161738,-13.0775831453996,1.007660100557982,0.23524632667624334,0.7515510535260448,0.013202619797711822,1055.7843169559358,1750.474858153215,1869.9655894626023,0.6992144002466838,0.691881639030813,0.06872104960042645,0.001785008772613754,0.034398742191855916,3.6458333333333336e-05,0.5490958959505363,0.6614998152666239,0.5851078102553686,58.04179663890076
