agent,workload,network,seen,condition,episode,seed,total_tasks_generated,num_completed,num_failed,completion_rate,avg_latency_ms,deadline_met_rate,total_energy_joules,final_time_ms,task_seed,duration_ms,truncated,num_decisions,episode_return,p95_latency_ms,late_completions,deadline_failures,sla_violations,rejections,fail_deadline_missed_while_running,raw_latency,raw_sla,raw_rejection,raw_balance,raw_energy,raw_utilization,w_latency,w_sla,w_rejection,w_balance,w_energy,w_utilization,m_latency_mean_ms,m_latency_p50_ms,m_latency_p95_ms,m_latency_p99_ms,m_latency_max_ms,m_excess_latency_mean_ms,m_on_time_rate,m_late_rate,m_deadline_failure_rate,m_rejection_rate,m_sla_violation_rate,m_completion_rate,m_makespan_s,m_throughput_tps,m_goodput_tps,m_energy_j,m_energy_per_task_j,m_mean_power_w,m_jain_server_tasks,m_jain_server_tasks_per_core,m_max_server_task_share,m_tasks_server1,m_tasks_server2,m_tasks_server3,m_tasks_server4,m_jain_user_completion,m_min_user_completion_rate,m_util_cpu_fleet,m_util_ram_fleet,m_util_variance_servers,m_util_std_servers,m_util_std_instant_mean,m_queue_mean_fill,m_queue_max_seen,m_util_server1,m_queue_server1,m_util_server2,m_queue_server2,m_util_server3,m_queue_server3,m_util_server4,m_queue_server4,fail_server_full_or_incompatible
FIFO,normal,normal,True,normal_normal,0,90000,35.0,5.0,30.0,0.14285714285714285,1035.004887618698,1.0,1955.2249837903848,17950.0,90000.0,10000.0,0.0,35.0,-115.00053399849753,1318.4522213606244,0.0,30.0,30.0,0.0,30.0,5.175024438093491,35.5,0.0,6.841947060525827,19.552249837903847,0.5001230628773876,-2.5875122190467454,-106.5,0.0,-2.0525841181577484,-3.91044996758077,0.05001230628773875,1035.004887618698,1039.747557997041,1318.4522213606244,1331.595252430781,1334.8810101983202,581.0420342311272,0.14285714285714285,0.0,0.8571428571428571,0.0,0.8571428571428571,0.14285714285714285,17.95,0.2785515320334262,0.2785515320334262,1955.2249837903848,55.863570965439564,108.92618294096852,0.25,0.25,1.0,5.0,0.0,0.0,0.0,0.25636704119850184,0.0,0.01449767816520749,0.005312708056575316,0.001665040856191258,0.04080491215762213,0.04080491215762214,0.0,0.0,0.09423490807384868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoundRobin,normal,normal,True,normal_normal,0,90000,35.0,22.0,13.0,0.6285714285714286,672.3966461748392,1.0,1340.1943885710714,11530.0,90000.0,10000.0,0.0,35.0,-64.69494742709503,1090.0524493707746,0.0,13.0,13.0,0.0,13.0,14.792726215846463,18.0,0.0,2.6943932530251513,13.401943885710715,1.9012243387788292,-7.396363107923231,-54.0,0.0,-0.8083179759075456,-2.6803887771421424,0.1901224338778829,672.3966461748392,692.2215660956008,1090.0524493707746,1284.3554951622225,1334.8810101983202,228.89550347232299,0.6285714285714286,0.0,0.37142857142857144,0.0,0.37142857142857144,0.6285714285714286,11.53,1.9080659150043366,1.9080659150043366,1340.1943885710714,38.29126824488775,116.23541965056994,0.8066666666666666,0.7129080118694362,0.36363636363636365,8.0,7.0,1.0,6.0,0.7462702030667218,0.0,0.053585343098070906,0.02280083482273755,0.0013374674751153424,0.03657140242204751,0.07780849434530566,0.0,0.0,0.11858159819331461,0.0,0.05769852843205771,0.0,0.02475712727808106,0.0,0.03398250381366343,0.0,0.0
Random,normal,normal,True,normal_normal,0,90000,35.0,17.0,18.0,0.4857142857142857,676.0395891836841,1.0,1668.6049650064901,14730.0,90000.0,10000.0,0.0,35.0,-83.42923771373867,953.4919641806505,0.0,18.0,18.0,0.0,18.0,11.49267301612263,24.5,0.0,3.338240458724508,16.6860496500649,1.5578086195297902,-5.746336508061315,-73.5,0.0,-1.0014721376173523,-3.3372099300129805,0.155780861952979,676.0395891836843,709.6659159609881,953.4919641806505,1165.7950144239576,1218.8707769847842,228.233657883748,0.4857142857142857,0.0,0.5142857142857142,0.0,0.5142857142857142,0.4857142857142857,14.73,1.1541072640868975,1.1541072640868975,1668.6049650064901,47.674427571614004,113.27935947090904,0.7014563106796117,0.9120689655172414,0.5294117647058824,3.0,3.0,2.0,9.0,0.670892494929006,0.0,0.04766111307836017,0.01863200390715187,0.0003524594775714959,0.018773904164331296,0.06983481399146,0.0,0.0,0.08221215177183762,0.0,0.041121713944163696,0.0,0.03450413016353283,0.0,0.042696530089136556,0.0,0.0
Greedy,normal,normal,True,normal_normal,0,90000,35.0,21.0,14.0,0.6,694.1932845755613,1.0,1197.8587925004067,10110.0,90000.0,10000.0,0.0,35.0,-74.8726081030486,1098.5189498986751,0.0,14.0,14.0,0.0,14.0,14.578058976086785,21.5,0.0,2.9319978937792,11.978587925004067,1.917383381293353,-7.289029488043393,-64.5,0.0,-0.8795993681337597,-2.3957175850008134,0.19173833812933525,694.1932845755613,692.7370660098413,1098.5189498986751,1287.6085981383912,1334.8810101983202,263.7748133068708,0.6,0.0,0.4,0.0,0.4,0.6,10.11,2.077151335311573,2.077151335311573,1197.8587925004067,34.22453692858305,118.48257096937752,0.9423076923076923,0.85,0.2857142857142857,6.0,6.0,3.0,6.0,0.7820579110651499,0.0,0.05587398215551923,0.023689232561211995,0.0011455773921874028,0.03384637930691262,0.09882315420368655,0.0,0.0,0.1020174463182318,0.0,0.052905972725555625,0.0,0.1146716187490687,0.0,0.032671894288999186,0.0,0.0
ECT,normal,normal,True,normal_normal,0,90000,35.0,29.0,6.0,0.8285714285714286,620.4623244453867,0.9655172413793104,1198.027469811447,10000.0,90000.0,10000.0,0.0,35.0,-43.32863908557584,863.4043301653941,1.0,6.0,7.0,0.0,6.0,17.99340740891621,10.5,0.0,2.1539550501879146,11.98027469811447,2.103060735615378,-8.996703704458104,-31.5,0.0,-0.6461865150563745,-2.396054939622894,0.21030607356153777,620.4623244453867,678.5189498986751,863.4043301653941,968.2948889163348,1004.2833195502371,168.73781014333508,0.8,0.02857142857142857,0.17142857142857143,0.0,0.2,0.8285714285714286,10.0,2.9,2.8,1198.027469811447,34.22935628032705,119.8027469811447,0.37882882882882885,0.4721287336979386,0.7931034482758621,1.0,5.0,0.0,23.0,0.8722606689734715,0.0,0.06864485687508096,0.030018940110742316,0.0018311512145690685,0.04279195268469375,0.0566355532568723,0.0,0.0,0.024597402476920674,0.0,0.03886995556203778,0.0,0.0,0.0,0.11461808536234334,0.0,0.0
PPO,normal,normal,True,normal_normal,0,90000,35.0,29.0,6.0,0.8285714285714286,619.427841686766,0.9655172413793104,1199.250934154691,10000.0,90000.0,10000.0,0.0,35.0,-43.349367406787536,863.4043301653941,1.0,6.0,7.0,0.0,6.0,17.96340740891621,10.5,0.0,2.280884272371006,11.992509341546912,2.151034476912539,-8.981703704458106,-31.5,0.0,-0.6842652817113019,-2.3985018683093826,0.21510344769125386,619.427841686766,678.5189498986751,863.4043301653941,968.2948889163348,1004.2833195502371,167.70332738471438,0.8,0.02857142857142857,0.17142857142857143,0.0,0.2,0.8285714285714286,10.0,2.9,2.8,1199.250934154691,34.26431240441975,119.9250934154691,0.3545531197301855,0.4384057971014493,0.8275862068965517,1.0,4.0,0.0,24.0,0.8722606689734715,0.0,0.06864485687508096,0.03001894011074232,0.0019118477481697548,0.04372468122433547,0.05783790566469909,0.0,0.0,0.024597402476920674,0.0,0.035907577036938136,0.0,0.0,0.0,0.11659300437907644,0.0,0.0
FIFO,normal,normal,True,normal_normal,1,90001,49.0,3.0,46.0,0.061224489795918366,1528.59269079318,1.0,2988.556891562793,27630.0,90001.0,10000.0,0.0,49.0,-148.39445003731828,2133.7654853433664,0.0,46.0,46.0,0.0,46.0,4.58577807237954,45.0,0.0,17.299517631588948,29.88556891562793,0.6540807147375739,-2.29288903618977,-135.0,0.0,-5.189855289476687,-5.977113783125587,0.06540807147375739,1528.59269079318,1525.7323685185595,2133.7654853433664,2187.8128735055716,2201.324720546123,837.7356762694371,0.061224489795918366,0.0,0.9387755102040817,0.0,0.9387755102040817,0.061224489795918366,27.63,0.10857763300760044,0.10857763300760044,2988.556891562793,60.99095697066925,108.1634777981467,0.25,0.25,1.0,3.0,0.0,0.0,0.0,0.19789227166276344,0.0,0.013459799997925107,0.006611963107020508,0.001435176117249396,0.03788371836619785,0.03788371836619776,0.0,0.0,0.0874886999865132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoundRobin,normal,normal,True,normal_normal,1,90001,49.0,30.0,19.0,0.6122448979591837,831.1981693989751,1.0,1805.6256569045242,15500.0,90001.0,10000.0,0.0,49.0,-80.54558847551932,1716.8081621337183,0.0,19.0,19.0,0.0,19.0,24.93594508196925,21.0,0.0,6.045617593003271,18.056256569045242,3.4732065717534217,-12.467972540984626,-63.0,0.0,-1.8136852779009809,-3.6112513138090487,0.3473206571753422,831.1981693989752,766.9924517339643,1716.8081621337183,1969.8864009257495,2006.0594816441885,313.3924854419695,0.6122448979591837,0.0,0.3877551020408163,0.0,0.3877551020408163,0.6122448979591837,15.5,1.935483870967742,1.935483870967742,1805.6256569045242,36.84950320213315,116.49197786480802,0.8211678832116789,0.9245886654478975,0.36666666666666664,7.0,11.0,2.0,10.0,0.8826006561288398,0.3333333333333333,0.06959877429214549,0.03386613849258137,0.000651402384066821,0.025522585763727408,0.10838169743543699,0.0,0.0,0.10767365601640667,0.0,0.09153612779538453,0.0,0.08760996092587345,0.0,0.03928038027627775,0.0,0.0
Random,normal,normal,True,normal_normal,1,90001,49.0,34.0,15.0,0.6938775510204082,926.7935138572209,1.0,1682.9296069442394,14220.0,90001.0,10000.0,0.0,49.0,-74.98607213636174,2000.0585170917736,0.0,15.0,15.0,0.0,15.0,31.510979471145514,18.0,0.0,7.602478424037208,16.8292960694424,4.160203403106469,-15.755489735572757,-54.0,0.0,-2.280743527211162,-3.3658592138884798,0.41602034031064694,926.7935138572209,821.7139528945158,2000.0585170917736,2071.7449475723784,2104.0974904922327,390.3941329305472,0.6938775510204082,0.0,0.30612244897959184,0.0,0.30612244897959184,0.6938775510204082,14.22,2.390998593530239,2.390998593530239,1682.9296069442394,34.3455021825355,118.3494800945316,0.85,0.8919019316493314,0.38235294117647056,9.0,13.0,3.0,9.0,0.922541935894579,0.5,0.0730794460189088,0.03596484484486352,0.001064780784557674,0.032630978908970446,0.10866571023549568,8.333333333333333e-05,1.0,0.1252249393744382,0.0,0.08719081534905927,0.0,0.11218895952472833,0.005,0.03977178309599544,0.0,0.0
Greedy,normal,normal,True,normal_normal,1,90001,49.0,35.0,14.0,0.7142857142857143,951.0741808685029,1.0,1360.761278100539,11060.0,90001.0,10000.0,0.0,49.0,-75.89178004399099,2195.708273867629,0.0,14.0,14.0,0.0,14.0,33.287596330397605,18.5,0.0,4.698474638620858,13.60761278100539,3.8308306899515,-16.643798165198803,-55.5,0.0,-1.4095423915862573,-2.7215225562010774,0.3830830689951501,951.0741808685029,862.4589901826239,2195.708273867629,2557.684625811306,2646.0594816441885,420.69324187224515,0.7142857142857143,0.0,0.2857142857142857,0.0,0.2857142857142857,0.7142857142857143,11.06,3.1645569620253164,3.1645569620253164,1360.761278100539,27.770638328582425,123.03447360764366,0.8254716981132075,0.9637870855148342,0.37142857142857144,7.0,13.0,3.0,12.0,0.9507998602864131,0.5,0.08038680095557184,0.03871158269941864,0.0009491870386923613,0.030808879218374063,0.11940288229973656,0.0,0.0,0.1250201995611606,0.0,0.10529562706043191,0.0,0.10921024542489641,0.0,0.04409920993891475,0.0,0.0
