agent,seen,episode_return,completion_rate,num_completed,num_failed,w_latency,w_sla,w_rejection,w_balance,w_energy,w_utilization
FIFO,False,-506.94216206256544,0.007764209526362194,0.8428571428571429,120.22857142857143,-0.8038799724374808,-421.88571428571424,0.0,-27.518662558425405,-56.967388022955724,0.23348277696748024
FIFO,True,-453.613750972852,0.011364515637210536,1.0625,120.7875,-0.6512005752369368,-389.86875,0.0,-29.06338968955865,-34.094931758212155,0.06452105015576975
Greedy,False,-427.52601856420506,0.1116170952270281,9.114285714285714,112.2,-5.995800475647436,-402.5785714285715,0.0,-3.8207643581201816,-15.899176655879142,0.7682943540131253
Greedy,True,-360.1602766962071,0.2189199535751527,19.375,102.47500000000001,-9.930895374031751,-342.01875,0.0,-2.1765902965623263,-6.975814608446552,0.9417735828334586
PPO,False,-436.5623296246941,0.10399642706556966,10.142857142857142,111.17142857142856,-6.537561136007988,-400.90714285714284,0.0,-10.207763970566962,-20.038140053681555,1.1282783927053075
PPO,True,-378.5161979018128,0.2010755057607464,19.0875,102.7625,-8.880477599494457,-347.2125,0.0,-11.081435030988327,-12.23889560415595,0.8971103328259006
Random,False,-458.1683807188759,0.10446618560589407,9.285714285714286,112.02857142857144,-5.819458922539349,-328.6928571428571,-96.85714285714286,-10.0232751516339,-17.567083232026217,0.7914365873236004
Random,True,-377.90022392021683,0.20801184875199352,19.9125,101.9375,-9.983155127654037,-330.9375,-11.85,-11.607629135884503,-14.505888905957965,0.9839492492796532
RoundRobin,False,-454.4675612906611,0.12049186364837171,10.514285714285714,110.8,-6.739973219710811,-328.3071428571429,-93.88571428571429,-9.434407498920946,-16.997025069064286,0.8967016398921729
RoundRobin,True,-369.2122754760447,0.23414126635152707,22.0875,99.7625,-10.441574790060486,-322.575,-13.1,-10.49114519283843,-13.656669743557206,1.0521142504114314
