baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,160,102.33590547718593,96.48086761468178,107.93274766117472,1.0,True
FIFO,unseen,140,83.8605177244674,80.97958464419668,86.76556400347049,1.0,True
RoundRobin,seen,160,19.66420104722389,16.70070285233718,22.49793321931324,0.86875,True
RoundRobin,unseen,140,29.32963611249293,26.486141167215955,32.103422142401406,0.9428571428571428,True
Random,seen,160,26.730111999606454,23.742717480517157,29.723428314870528,0.94375,True
Random,unseen,140,34.64076271558324,31.64299460546309,37.55177389323912,0.9642857142857143,True
Greedy,seen,160,11.148052491474228,8.42944956660384,13.863356990415069,0.65625,True
Greedy,unseen,140,4.18369970140289,2.536165158923779,5.944319108236299,0.6357142857142857,True
ECT,seen,160,6.501368812810185,5.112651250791464,7.982959376752909,0.71875,True
ECT,unseen,140,6.657534800155566,5.367137455784748,8.001762232030005,0.7785714285714286,True
