baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,160,98.48491599096289,93.05181223668995,103.79906079317631,1.0,True
FIFO,unseen,140,81.36637529377734,78.42363161467696,84.31439442916516,1.0,True
RoundRobin,seen,160,15.813211561000855,12.360080147046443,19.023045025626413,0.80625,True
RoundRobin,unseen,140,26.835493681802863,23.589765685694186,30.042206590314336,0.9071428571428571,True
Random,seen,160,22.879122513383418,19.86384031636154,25.996204038590108,0.875,True
Random,unseen,140,32.146620284893174,28.97444780167233,35.258485231279806,0.9357142857142857,True
Greedy,seen,160,7.297063005251192,4.7660762535378165,9.888344911971734,0.6,True
Greedy,unseen,140,1.6895572707128192,0.40839825459262274,3.028286448849006,0.5285714285714286,True
ECT,seen,160,2.650379326587147,1.6141989071972742,3.7890237980833654,0.53125,True
ECT,unseen,140,4.163392369465495,2.99487885081503,5.461849955900159,0.6071428571428571,True
