baseline,conditions,n_episodes,mean_diff,ci95_low,ci95_high,win_rate,significant
FIFO,seen,160,98.4054976616603,92.94219787864068,103.752385976432,1.0,True
FIFO,unseen,140,81.41737245692222,78.53814037252059,84.33031547550961,1.0,True
RoundRobin,seen,160,15.73379323169828,12.259158114297044,18.91465779625843,0.80625,True
RoundRobin,unseen,140,26.886490844947758,23.65045949604193,30.076805148652316,0.9,True
Random,seen,160,22.799704184080845,19.81853003921654,25.821880616656404,0.875,True
Random,unseen,140,32.19761744803807,29.009622937814306,35.339339621590895,0.9285714285714286,True
Greedy,seen,160,7.217644675948617,4.676538870157444,9.800500159820475,0.58125,True
Greedy,unseen,140,1.7405544338577186,0.46395960664101255,3.0884672623121405,0.5357142857142857,True
ECT,seen,160,2.5709609972845726,1.5524621057065495,3.668472126886036,0.475,True
ECT,unseen,140,4.214389532610394,3.0732878391336307,5.452026168205366,0.6214285714285714,True
