regime,feature,flip_rate
light,task_cpu,0.005952380952380952
light,task_ram,0.002976190476190476
light,task_data_size,0.027529761904761904
light,task_exec_time,0.009672619047619048
light,task_slack,0.005952380952380952
light,task_prio_high,0.03943452380952381
light,task_prio_medium,0.11011904761904762
light,task_prio_low,0.04873511904761905
light,pending_decisions,0.0003720238095238095
light,server1_cpu_util,0.006696428571428571
light,server1_ram_util,0.0003720238095238095
light,server1_queue_fill,0.007068452380952381
light,server1_backlog,0.012648809523809522
light,server1_net_delay,0.10491071428571429
light,server1_can_start_now,0.018601190476190476
light,server1_cpu_cores,0.0
light,server1_ram_gb,0.0
light,server1_bandwidth,0.0
light,server1_power_max,0.0
light,server2_cpu_util,0.00818452380952381
light,server2_ram_util,0.002976190476190476
light,server2_queue_fill,0.011532738095238096
light,server2_backlog,0.019345238095238092
light,server2_net_delay,0.1171875
light,server2_can_start_now,0.035342261904761904
light,server2_cpu_cores,0.0
light,server2_ram_gb,0.0
light,server2_bandwidth,0.0
light,server2_power_max,0.0
light,server3_cpu_util,0.001488095238095238
light,server3_ram_util,0.0011160714285714285
light,server3_queue_fill,0.05580357142857143
light,server3_backlog,0.017113095238095236
light,server3_net_delay,0.010788690476190474
light,server3_can_start_now,0.006324404761904763
light,server3_cpu_cores,0.0
light,server3_ram_gb,0.0
light,server3_bandwidth,0.0
light,server3_power_max,0.0
light,server4_cpu_util,0.018973214285714288
light,server4_ram_util,0.010788690476190478
light,server4_queue_fill,0.004464285714285715
light,server4_backlog,0.014880952380952382
light,server4_net_delay,0.1015625
light,server4_can_start_now,0.19345238095238093
light,server4_cpu_cores,0.0
light,server4_ram_gb,0.0
light,server4_bandwidth,0.0
light,server4_power_max,0.0
heavy,task_cpu,0.0006626905235255135
heavy,task_ram,0.00033134526176275674
heavy,task_data_size,0.008614976805831676
heavy,task_exec_time,0.003976143141153081
heavy,task_slack,0.0014910536779324055
heavy,task_prio_high,0.008117958913187541
heavy,task_prio_medium,0.04241219350563286
heavy,task_prio_low,0.0207090788601723
heavy,pending_decisions,0.00016567263088137837
heavy,server1_cpu_util,0.00530152418820411
heavy,server1_ram_util,0.002650762094102055
heavy,server1_queue_fill,0.02634194831013917
heavy,server1_backlog,0.031146454605699137
heavy,server1_net_delay,0.046719681908548714
heavy,server1_can_start_now,0.03197481776010603
heavy,server1_cpu_cores,0.0
heavy,server1_ram_gb,0.0
heavy,server1_bandwidth,0.0
heavy,server1_power_max,0.0
heavy,server2_cpu_util,0.0044731610337972166
heavy,server2_ram_util,0.0018223989396951622
heavy,server2_queue_fill,0.007786613651424784
heavy,server2_backlog,0.008946322067594433
heavy,server2_net_delay,0.0291583830351226
heavy,server2_can_start_now,0.00728959575878065
heavy,server2_cpu_cores,0.0
heavy,server2_ram_gb,0.0
heavy,server2_bandwidth,0.0
heavy,server2_power_max,0.0
heavy,server3_cpu_util,0.0006626905235255135
heavy,server3_ram_util,0.0006626905235255135
heavy,server3_queue_fill,0.015904572564612324
heavy,server3_backlog,0.004970178926441352
heavy,server3_net_delay,0.002982107355864811
heavy,server3_can_start_now,0.003644797879390325
heavy,server3_cpu_cores,0.0
heavy,server3_ram_gb,0.0
heavy,server3_bandwidth,0.0
heavy,server3_power_max,0.0
heavy,server4_cpu_util,0.010934393638170975
heavy,server4_ram_util,0.0033134526176275673
heavy,server4_queue_fill,0.015573227302849569
heavy,server4_backlog,0.015573227302849569
heavy,server4_net_delay,0.04854208084824387
heavy,server4_can_start_now,0.09791252485089463
heavy,server4_cpu_cores,0.0
heavy,server4_ram_gb,0.0
heavy,server4_bandwidth,0.0
heavy,server4_power_max,0.0
