regime,type,n_cols,flip_rate
light,task: task_cpu,1,0.004836309523809523
light,task: task_ram,1,0.0018601190476190473
light,task: task_data_size,1,0.026785714285714284
light,task: task_exec_time,1,0.007440476190476191
light,task: task_slack,1,0.0037202380952380955
light,task: task_prio_high,1,0.040178571428571425
light,task: task_prio_medium,1,0.1019345238095238
light,task: task_prio_low,1,0.046130952380952384
light,server: pending_decisions,1,0.0
light,server: cpu_util,4,0.027529761904761904
light,server: ram_util,4,0.012648809523809522
light,server: queue_fill,4,0.0665922619047619
light,server: backlog,4,0.04352678571428572
light,server: net_delay,4,0.283110119047619
light,server: can_start_now,4,0.2299107142857143
light,server: cpu_cores,4,0.0
light,server: ram_gb,4,0.0
light,server: bandwidth,4,0.0
light,server: power_max,4,0.0
heavy,task: task_cpu,1,0.0009940357852882703
heavy,task: task_ram,1,0.00016567263088137837
heavy,task: task_data_size,1,0.00728959575878065
heavy,task: task_exec_time,1,0.002650762094102055
heavy,task: task_slack,1,0.0016567263088137836
heavy,task: task_prio_high,1,0.008780649436713054
heavy,task: task_prio_medium,1,0.042909211398277004
heavy,task: task_prio_low,1,0.020377733598409543
heavy,server: pending_decisions,1,0.00016567263088137837
heavy,server: cpu_util,4,0.01673293571901922
heavy,server: ram_util,4,0.005632869449966865
heavy,server: queue_fill,4,0.03893306825712392
heavy,server: backlog,4,0.04125248508946322
heavy,server: net_delay,4,0.08482438701126573
heavy,server: can_start_now,4,0.11116633532140491
heavy,server: cpu_cores,4,0.0
heavy,server: ram_gb,4,0.0
heavy,server: bandwidth,4,0.0
heavy,server: power_max,4,0.0
