scheduler,workload,network,task_seed,num_tasks,episode_return,return_per_task,on_time_rate,completion_rate,avg_latency_ms,energy_per_task_j
FIFO,normal,normal,700000000,63,-205.26564136540978,-3.258184783577933,0.0,0.0,0.0,67.28062002314627
RoundRobin,normal,normal,700000000,63,-107.13666284142428,-1.7005819498638775,0.5714285714285714,0.5714285714285714,783.2466428549407,32.005783540582385
Random,normal,normal,700000000,63,-127.36784199020252,-2.0217117776222624,0.5238095238095238,0.5238095238095238,800.5055353048116,40.342198768943156
Greedy,normal,normal,700000000,63,-82.6359589781762,-1.3116818885424795,0.7301587301587301,0.746031746031746,841.6442484295349,22.077715602585368
ECT,normal,normal,700000000,63,-68.49433643403486,-1.0872116894291248,0.8253968253968254,0.8412698412698413,734.9945368053997,21.775809843156008
FIFO,normal,normal,700000001,63,-197.6578174560137,-3.1374256739049793,0.031746031746031744,0.031746031746031744,1328.512549058877,56.47779878330681
RoundRobin,normal,normal,700000001,63,-102.4812571070601,-1.6266866207469857,0.5714285714285714,0.5714285714285714,778.9524219385211,33.1548928915303
Random,normal,normal,700000001,63,-131.6783038348167,-2.0901318069018524,0.42857142857142855,0.42857142857142855,803.005052106644,28.759767986435985
Greedy,normal,normal,700000001,63,-85.43187188728167,-1.3560614585282804,0.6825396825396826,0.6825396825396826,828.3016687433864,28.977497854679804
ECT,normal,normal,700000001,63,-61.06424109185335,-0.9692736681246563,0.8253968253968254,0.8253968253968254,701.7741758039114,21.96020105921106
FIFO,normal,normal,700000002,53,-182.3451612652565,-3.4404747408538965,0.05660377358490566,0.05660377358490566,1293.3930769199712,56.154298051682574
RoundRobin,normal,normal,700000002,53,-97.82190731835816,-1.8456963644973237,0.5471698113207547,0.5660377358490566,801.0595600030064,31.454232152335532
Random,normal,normal,700000002,53,-131.69076724177015,-2.4847314573918897,0.39622641509433965,0.41509433962264153,925.7412779761129,37.67418765666876
Greedy,normal,normal,700000002,53,-100.86517542306756,-1.903116517416369,0.6226415094339622,0.6415094339622641,866.7379117582204,25.233573391580922
ECT,normal,normal,700000002,53,-66.76140143424645,-1.2596490836650274,0.8301886792452831,0.8301886792452831,757.5879395829033,25.08211443421626
FIFO,normal,normal,700000003,54,-179.37116105313424,-3.3216881676506342,0.0,0.0,0.0,54.890661021750276
RoundRobin,normal,normal,700000003,54,-89.0836321072833,-1.6496968908756164,0.6481481481481481,0.6481481481481481,717.9216404757093,30.969284904517387
Random,normal,normal,700000003,54,-111.31595418239635,-2.0614065589332657,0.5,0.5,754.777306494629,45.14707241788971
Greedy,normal,normal,700000003,54,-92.5071578912226,-1.7130955165041224,0.6296296296296297,0.6296296296296297,747.8851610782857,25.079685893223814
ECT,normal,normal,700000003,54,-38.02845454612991,-0.7042306397431465,0.9259259259259259,0.9259259259259259,660.8544236267611,24.24275978112062
FIFO,normal,normal,700000004,56,-190.89298056660832,-3.40880322440372,0.03571428571428571,0.03571428571428571,1488.5648825501657,61.514161636587616
RoundRobin,normal,normal,700000004,56,-109.25491692739506,-1.950980659417769,0.5535714285714286,0.5535714285714286,807.094092042644,29.856285460374636
Random,normal,normal,700000004,56,-119.51811950531564,-2.1342521340234937,0.42857142857142855,0.42857142857142855,772.0369085740434,30.145982225682655
Greedy,normal,normal,700000004,56,-91.33673007436585,-1.6310130370422473,0.6428571428571429,0.6428571428571429,789.4274392181758,23.55149271764881
ECT,normal,normal,700000004,56,-53.17486717183971,-0.9495511994971376,0.875,0.875,734.1238413282235,23.678505441060196
